RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,statefips,region_tag
67359,11637,22712,zip,VA,VA,Bealeton,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Fauquier County,51,bealeton-va-22712
81613,11637,54208,zip,WI,WI,New Denmark,"Green Bay, WI",Brown County,55,new-denmark-wi-54208
77669,11639,45430,zip,OH,OH,Beavercreek,"Dayton-Kettering, OH",Greene County,39,beavercreek-oh-45430
65084,11640,17519,zip,PA,PA,East Earl,"Lancaster, PA",Lancaster County,42,east-earl-pa-17519
88902,11641,71075,zip,LA,LA,Springhill,"Minden, LA",Webster Parish,22,springhill-la-71075
59961,11641,5663,zip,VT,VT,Northfield,"Barre, VT",Washington County,50,northfield-vt-5663
78991,11643,48120,zip,MI,MI,Dearborn,"Detroit-Warren-Dearborn, MI",Wayne County,26,dearborn-mi-48120
60331,11643,6472,zip,CT,CT,North Branford,"New Haven-Milford, CT",New Haven County,9,north-branford-ct-6472
93248,11643,80118,zip,CO,CO,Larkspur,"Denver-Aurora-Lakewood, CO",Douglas County,8,larkspur-co-80118
67078,11646,21851,zip,MD,MD,Pocomoke City,"Salisbury, MD-DE",Worcester County,24,pocomoke-city-md-21851
89706,11647,72687,zip,AR,AR,Yellville,,Marion County,5,yellville-ar-72687
71634,11648,31714,zip,GA,GA,Ashburn,,Turner County,13,ashburn-ga-31714
69694,11649,28073,zip,NC,NC,Grover,"Shelby, NC",Cleveland County,37,grover-nc-28073
90478,11650,74631,zip,OK,OK,Blackwell,"Ponca City, OK",Kay County,40,blackwell-ok-74631
87012,11651,65793,zip,MO,MO,Willow Springs,"West Plains, MO",Howell County,29,willow-springs-mo-65793
95641,11652,88401,zip,NM,NM,Tucumcari,,Quay County,35,tucumcari-nm-88401
74454,11652,37742,zip,TN,TN,Greenback,"Knoxville, TN",Blount County,47,greenback-tn-37742
71014,11654,30292,zip,GA,GA,Williamson,"Atlanta-Sandy Springs-Alpharetta, GA",Pike County,13,williamson-ga-30292
58901,11655,2779,zip,MA,MA,Berkley,"Providence-Warwick, RI-MA",Bristol County,25,berkley-ma-2779
81876,11655,54755,zip,WI,WI,Mondovi,,Buffalo County,55,mondovi-wi-54755
65883,11657,19362,zip,PA,PA,Nottingham,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Chester County,42,nottingham-pa-19362
67968,11658,24078,zip,VA,VA,Collinsville,"Martinsville, VA",Henry County,51,collinsville-va-24078
70554,11659,29565,zip,SC,SC,Latta,,Dillon County,45,latta-sc-29565
75985,11660,41301,zip,KY,KY,Campton,,Wolfe County,21,campton-ky-41301
95471,11660,87740,zip,NM,NM,Raton,,Colfax County,35,raton-nm-87740
87002,11660,65781,zip,MO,MO,Willard,"Springfield, MO",Greene County,29,willard-mo-65781
70228,11663,28789,zip,NC,NC,Whittier,"Cullowhee, NC",Jackson County,37,whittier-nc-28789
92911,11664,79339,zip,TX,TX,Littlefield,,Lamb County,48,littlefield-tx-79339
76799,11665,43713,zip,OH,OH,Barnesville,"Wheeling, WV-OH",Belmont County,39,barnesville-oh-43713
80421,11665,50548,zip,IA,IA,Humboldt,,Humboldt County,19,humboldt-ia-50548
92132,11667,77859,zip,TX,TX,Hearne,"College Station-Bryan, TX",Robertson County,48,hearne-tx-77859
59281,11667,3903,zip,ME,ME,Eliot,"Portland-South Portland, ME",York County,23,eliot-me-3903
62779,11669,12834,zip,NY,NY,Greenwich,"Glens Falls, NY",Washington County,36,greenwich-ny-12834
58839,11669,2648,zip,MA,MA,Barnstable,"Barnstable Town, MA",Barnstable County,25,barnstable-ma-2648
63895,11671,15089,zip,PA,PA,West Newton,"Pittsburgh, PA",Westmoreland County,42,west-newton-pa-15089
64788,11672,16870,zip,PA,PA,Port Matilda,"State College, PA",Centre County,42,port-matilda-pa-16870
90725,11673,75148,zip,TX,TX,Malakoff,"Athens, TX",Henderson County,48,malakoff-tx-75148
60084,11673,6016,zip,CT,CT,Broad Brook,"Hartford-East Hartford-Middletown, CT",Hartford County,9,broad-brook-ct-6016
88272,11675,68949,zip,NE,NE,Holdrege,,Phelps County,31,holdrege-ne-68949
74020,11676,36744,zip,AL,AL,Greensboro,"Tuscaloosa, AL",Hale County,1,greensboro-al-36744
82064,11676,55045,zip,MN,MN,Lindstrom,"Minneapolis-St. Paul-Bloomington, MN-WI",Chisago County,27,lindstrom-mn-55045
68867,11676,26047,zip,WV,WV,New Cumberland,"Weirton-Steubenville, WV-OH",Hancock County,54,new-cumberland-wv-26047
65088,11679,17527,zip,PA,PA,Gap,"Lancaster, PA",Lancaster County,42,gap-pa-17527
65036,11680,17339,zip,PA,PA,Lewisberry,"York-Hanover, PA",York County,42,lewisberry-pa-17339
82817,11680,56362,zip,MN,MN,,"St. Cloud, MN",Stearns County,27,
70150,11680,28705,zip,NC,NC,Bakersville,,Mitchell County,37,bakersville-nc-28705
93826,11683,81631,zip,CO,CO,Gypsum,"Edwards, CO",Eagle County,8,gypsum-co-81631
62986,11683,13142,zip,NY,NY,Pulaski,"Syracuse, NY",Oswego County,36,pulaski-ny-13142
65693,11685,19012,zip,PA,PA,Cheltenham,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,42,cheltenham-pa-19012
69941,11686,28428,zip,NC,NC,Carolina Beach,"Wilmington, NC",New Hanover County,37,carolina-beach-nc-28428
69293,11687,27313,zip,NC,NC,Pleasant Garden,"Greensboro-High Point, NC",Guilford County,37,pleasant-garden-nc-27313
58627,11688,2113,zip,MA,MA,Boston,"Boston-Cambridge-Newton, MA-NH",Suffolk County,25,boston-ma-2113
94357,11689,83860,zip,ID,ID,Sagle,"Sandpoint, ID",Bonner County,16,sagle-id-83860
70125,11690,28675,zip,NC,NC,Sparta,,Alleghany County,37,sparta-nc-28675
74378,11690,37419,zip,TN,TN,Chattanooga,"Chattanooga, TN-GA",Hamilton County,47,chattanooga-tn-37419
65288,11692,17976,zip,PA,PA,Shenandoah,"Pottsville, PA",Schuylkill County,42,shenandoah-pa-17976
68259,11693,24630,zip,VA,VA,North Tazewell,"Bluefield, WV-VA",Tazewell County,51,north-tazewell-va-24630
100153,11694,99204,zip,WA,WA,Spokane,"Spokane-Spokane Valley, WA",Spokane County,53,spokane-wa-99204
62933,11694,13068,zip,NY,NY,Freeville,"Ithaca, NY",Tompkins County,36,freeville-ny-13068
92089,11696,77665,zip,TX,TX,Winnie,"Houston-The Woodlands-Sugar Land, TX",Chambers County,48,winnie-tx-77665
84126,11697,59635,zip,MT,MT,East Helena,"Helena, MT",Lewis and Clark County,30,east-helena-mt-59635
79066,11698,48211,zip,MI,MI,Hamtramck,"Detroit-Warren-Dearborn, MI",Wayne County,26,hamtramck-mi-48211
86610,11699,64831,zip,MO,MO,,,McDonald County,29,
62391,11699,12090,zip,NY,NY,Hoosick Falls,"Albany-Schenectady-Troy, NY",Rensselaer County,36,hoosick-falls-ny-12090
