MedianIncome,RegionName,year,state_fip,_last_synced_
46214.04,35776,2022,1,2023-12-02 16:50:45
88456.40000000001,35801,2022,1,2023-12-02 16:50:45
66134.24,35802,2022,1,2023-12-02 16:50:45
87499.53,35803,2022,1,2023-12-02 16:50:45
29078.96,35805,2022,1,2023-12-02 16:50:45
68703.06,35806,2022,1,2023-12-02 16:50:45
41606.85,35810,2022,1,2023-12-02 16:50:45
77562.09,35811,2022,1,2023-12-02 16:50:45
30036.86,35816,2022,1,2023-12-02 16:50:45
96672.71,35824,2022,1,2023-12-02 16:50:45
41560.5,35901,2022,1,2023-12-02 16:50:45
45323.090000000004,35903,2022,1,2023-12-02 16:50:45
40445.01,35904,2022,1,2023-12-02 16:50:45
61363.28,35905,2022,1,2023-12-02 16:50:45
53534.25,35906,2022,1,2023-12-02 16:50:45
68731.90000000001,35907,2022,1,2023-12-02 16:50:45
50993.24,35950,2022,1,2023-12-02 16:50:45
46909.29,35951,2022,1,2023-12-02 16:50:45
43893.450000000004,35952,2022,1,2023-12-02 16:50:45
55266.71,35953,2022,1,2023-12-02 16:50:45
48394.55,35954,2022,1,2023-12-02 16:50:45
55101.91,35956,2022,1,2023-12-02 16:50:45
43683.33,35957,2022,1,2023-12-02 16:50:45
49195.89,35958,2022,1,2023-12-02 16:50:45
38848.51,35959,2022,1,2023-12-02 16:50:45
41892.16,35960,2022,1,2023-12-02 16:50:45
39875.42,35961,2022,1,2023-12-02 16:50:45
49543.0,35962,2022,1,2023-12-02 16:50:45
52466.14,35963,2022,1,2023-12-02 16:50:45
44655.65,35966,2022,1,2023-12-02 16:50:45
45347.81,35967,2022,1,2023-12-02 16:50:45
44360.04,35968,2022,1,2023-12-02 16:50:45
43054.0,35971,2022,1,2023-12-02 16:50:45
-686666665.98,35972,2022,1,2023-12-02 16:50:45
50212.5,35973,2022,1,2023-12-02 16:50:45
60390.96,35974,2022,1,2023-12-02 16:50:45
33904.51,35975,2022,1,2023-12-02 16:50:45
62124.450000000004,35976,2022,1,2023-12-02 16:50:45
49627.46,35978,2022,1,2023-12-02 16:50:45
-686666665.98,35979,2022,1,2023-12-02 16:50:45
54257.310000000005,35980,2022,1,2023-12-02 16:50:45
38686.8,35981,2022,1,2023-12-02 16:50:45
60633.01,35983,2022,1,2023-12-02 16:50:45
38972.11,35984,2022,1,2023-12-02 16:50:45
54041.01,35986,2022,1,2023-12-02 16:50:45
64584.090000000004,35987,2022,1,2023-12-02 16:50:45
46433.43,35988,2022,1,2023-12-02 16:50:45
44994.520000000004,35989,2022,1,2023-12-02 16:50:45
28863.690000000002,36003,2022,1,2023-12-02 16:50:45
43050.91,36005,2022,1,2023-12-02 16:50:45
-686666665.98,36006,2022,1,2023-12-02 16:50:45
46104.86,36009,2022,1,2023-12-02 16:50:45
37475.520000000004,36010,2022,1,2023-12-02 16:50:45
49737.67,36016,2022,1,2023-12-02 16:50:45
50212.5,36020,2022,1,2023-12-02 16:50:45
76382.74,36022,2022,1,2023-12-02 16:50:45
53234.520000000004,36024,2022,1,2023-12-02 16:50:45
47613.81,36025,2022,1,2023-12-02 16:50:45
92056.25,36026,2022,1,2023-12-02 16:50:45
37863.83,36027,2022,1,2023-12-02 16:50:45
39417.07,36028,2022,1,2023-12-02 16:50:45
59534.0,36029,2022,1,2023-12-02 16:50:45
31591.13,36032,2022,1,2023-12-02 16:50:45
39106.01,36033,2022,1,2023-12-02 16:50:45
35964.51,36034,2022,1,2023-12-02 16:50:45
47913.54,36035,2022,1,2023-12-02 16:50:45
45213.91,36036,2022,1,2023-12-02 16:50:45
48891.01,36037,2022,1,2023-12-02 16:50:45
67807.99,36042,2022,1,2023-12-02 16:50:45
81415.32,36043,2022,1,2023-12-02 16:50:45
44525.87,36046,2022,1,2023-12-02 16:50:45
-686666665.98,36047,2022,1,2023-12-02 16:50:45
48316.270000000004,36049,2022,1,2023-12-02 16:50:45
73453.42,36051,2022,1,2023-12-02 16:50:45
117001.82,36052,2022,1,2023-12-02 16:50:45
32131.88,36053,2022,1,2023-12-02 16:50:45
55493.310000000005,36054,2022,1,2023-12-02 16:50:45
111636.55,36064,2022,1,2023-12-02 16:50:45
69180.98,36066,2022,1,2023-12-02 16:50:45
59280.62,36067,2022,1,2023-12-02 16:50:45
42795.47,36069,2022,1,2023-12-02 16:50:45
43131.25,36075,2022,1,2023-12-02 16:50:45
60224.1,36078,2022,1,2023-12-02 16:50:45
53016.16,36079,2022,1,2023-12-02 16:50:45
75722.51,36080,2022,1,2023-12-02 16:50:45
34843.87,36081,2022,1,2023-12-02 16:50:45
39812.590000000004,36083,2022,1,2023-12-02 16:50:45
37248.92,36088,2022,1,2023-12-02 16:50:45
23604.510000000002,36089,2022,1,2023-12-02 16:50:45
43989.24,36091,2022,1,2023-12-02 16:50:45
68478.52,36092,2022,1,2023-12-02 16:50:45
109558.01000000001,36093,2022,1,2023-12-02 16:50:45
33848.89,36104,2022,1,2023-12-02 16:50:45
37891.64,36105,2022,1,2023-12-02 16:50:45
64356.46,36106,2022,1,2023-12-02 16:50:45
30030.68,36107,2022,1,2023-12-02 16:50:45
25778.84,36108,2022,1,2023-12-02 16:50:45
56530.520000000004,36109,2022,1,2023-12-02 16:50:45
