Population,MedianIncome,RegionName,year,state_fip,_last_synced_
5934,59576,35905,2021,1,2023-12-02 16:47:54
10309,51975,35906,2021,1,2023-12-02 16:47:54
9138,66730,35907,2021,1,2023-12-02 16:47:54
20816,49508,35950,2021,1,2023-12-02 16:47:54
13348,45543,35951,2021,1,2023-12-02 16:47:54
8682,42615,35952,2021,1,2023-12-02 16:47:54
6967,53657,35953,2021,1,2023-12-02 16:47:54
12551,46985,35954,2021,1,2023-12-02 16:47:54
8562,53497,35956,2021,1,2023-12-02 16:47:54
16240,42411,35957,2021,1,2023-12-02 16:47:54
3403,47763,35958,2021,1,2023-12-02 16:47:54
4212,37717,35959,2021,1,2023-12-02 16:47:54
8459,40672,35960,2021,1,2023-12-02 16:47:54
6144,38714,35961,2021,1,2023-12-02 16:47:54
8139,48100,35962,2021,1,2023-12-02 16:47:54
1137,50938,35963,2021,1,2023-12-02 16:47:54
3336,43355,35966,2021,1,2023-12-02 16:47:54
16649,44027,35967,2021,1,2023-12-02 16:47:54
5237,43068,35968,2021,1,2023-12-02 16:47:54
5661,41800,35971,2021,1,2023-12-02 16:47:54
1036,-666666666,35972,2021,1,2023-12-02 16:47:54
3577,48750,35973,2021,1,2023-12-02 16:47:54
1749,58632,35974,2021,1,2023-12-02 16:47:54
1306,32917,35975,2021,1,2023-12-02 16:47:54
17292,60315,35976,2021,1,2023-12-02 16:47:54
5538,48182,35978,2021,1,2023-12-02 16:47:54
1005,-666666666,35979,2021,1,2023-12-02 16:47:54
6208,52677,35980,2021,1,2023-12-02 16:47:54
2015,37560,35981,2021,1,2023-12-02 16:47:54
3966,58867,35983,2021,1,2023-12-02 16:47:54
1401,37837,35984,2021,1,2023-12-02 16:47:54
7844,52467,35986,2021,1,2023-12-02 16:47:54
2483,62703,35987,2021,1,2023-12-02 16:47:54
2423,45081,35988,2021,1,2023-12-02 16:47:54
3750,43684,35989,2021,1,2023-12-02 16:47:54
2397,28023,36003,2021,1,2023-12-02 16:47:54
1486,41797,36005,2021,1,2023-12-02 16:47:54
1685,-666666666,36006,2021,1,2023-12-02 16:47:54
2233,44762,36009,2021,1,2023-12-02 16:47:54
5316,36384,36010,2021,1,2023-12-02 16:47:54
4990,48289,36016,2021,1,2023-12-02 16:47:54
1119,48750,36020,2021,1,2023-12-02 16:47:54
15336,74158,36022,2021,1,2023-12-02 16:47:54
5152,51684,36024,2021,1,2023-12-02 16:47:54
7267,46227,36025,2021,1,2023-12-02 16:47:54
1239,89375,36026,2021,1,2023-12-02 16:47:54
14825,36761,36027,2021,1,2023-12-02 16:47:54
1501,38269,36028,2021,1,2023-12-02 16:47:54
1188,57800,36029,2021,1,2023-12-02 16:47:54
2355,30671,36032,2021,1,2023-12-02 16:47:54
3544,37967,36033,2021,1,2023-12-02 16:47:54
975,34917,36034,2021,1,2023-12-02 16:47:54
1972,46518,36035,2021,1,2023-12-02 16:47:54
1933,43897,36036,2021,1,2023-12-02 16:47:54
13194,47467,36037,2021,1,2023-12-02 16:47:54
1188,65833,36042,2021,1,2023-12-02 16:47:54
3805,79044,36043,2021,1,2023-12-02 16:47:54
1556,43229,36046,2021,1,2023-12-02 16:47:54
940,-666666666,36047,2021,1,2023-12-02 16:47:54
5984,46909,36049,2021,1,2023-12-02 16:47:54
3080,71314,36051,2021,1,2023-12-02 16:47:54
668,113594,36052,2021,1,2023-12-02 16:47:54
2419,31196,36053,2021,1,2023-12-02 16:47:54
15362,53877,36054,2021,1,2023-12-02 16:47:54
12737,108385,36064,2021,1,2023-12-02 16:47:54
21383,67166,36066,2021,1,2023-12-02 16:47:54
27717,57554,36067,2021,1,2023-12-02 16:47:54
